ep,algo,tau,reward,avg20,alpha,avg_queue_veh,throughput_veh_per_hour,arrived_total,sim_seconds,avg_delay_norm,avg_stops_norm,avg_speed_fluct_norm,gate_mean_eb,gate_mean_wb,coupling_clamp_events,local_factor_mean,r_efficiency_avg,r_throughput_avg,r_coordination_avg,r_congestion_avg,r_delay_avg,r_queue_overflow_avg,r_stops_avg,r_fuel_avg,r_smoothness_avg,r_demand_robust_avg,r_signal_compliance_avg,r_green_pass_avg,td_error_mean,actor_loss
1,sac,0.005000,-2863.177837,-2863.177837,0.150938,63.253330,3028.634850,3032,3604.000000,0.766352,0.328698,0.009582,0.958258,0.950075,255,0.995208,0.382987,0.032725,0.162339,-0.226574,-0.919622,-0.018794,-0.197219,-0.029870,-0.001437,0.000000,-0.010709,0.033801,3.039310,3.930234
2,sac,0.005000,-2823.301296,-2843.239566,0.152618,60.537181,3046.614872,3050,3604.000000,0.773558,0.310732,0.009702,0.946051,0.986878,226,0.998750,0.374314,0.033894,0.162339,-0.215395,-0.928270,-0.017217,-0.186439,-0.028257,-0.001455,0.000000,-0.010075,0.034694,1.568480,7.967687
3,sac,0.005000,-2770.494226,-2818.991120,0.154403,58.776915,3045.615982,3049,3604.000000,0.770934,0.307048,0.009701,0.986566,0.992945,237,0.997547,0.379968,0.034263,0.162339,-0.212557,-0.925121,-0.016783,-0.184229,-0.027925,-0.001455,0.000000,-0.010369,0.035054,1.676229,15.202227
4,sac,0.005000,-2811.778810,-2817.188042,0.156247,60.159822,3048.612653,3052,3604.000000,0.773332,0.309579,0.009917,0.958954,0.979264,241,0.998750,0.374121,0.033986,0.162339,-0.214440,-0.927998,-0.017448,-0.185747,-0.028160,-0.001488,0.000000,-0.009973,0.036523,2.145543,18.286779
5,sac,0.005000,-3027.964861,-2859.343406,0.158084,64.996670,3028.634850,3032,3604.000000,0.780011,0.338340,0.009344,0.984692,0.990647,224,0.993137,0.364414,0.034320,0.162339,-0.229948,-0.936013,-0.018094,-0.203004,-0.030731,-0.001402,0.000000,-0.010845,0.030495,2.608026,22.067816
6,sac,0.005000,-2672.852636,-2828.261611,0.159938,60.434517,3034.628191,3038,3604.000000,0.756585,0.314936,0.009626,0.973775,0.992848,233,0.997948,0.396646,0.033300,0.162339,-0.214090,-0.907902,-0.018701,-0.188962,-0.028633,-0.001444,0.000000,-0.011157,0.038984,3.449295,24.666195
7,sac,0.005000,-2889.404292,-2836.996280,0.161806,63.848224,3026.637070,3030,3604.000000,0.767152,0.332099,0.009525,0.986037,0.995204,245,0.994340,0.380410,0.033257,0.162339,-0.225552,-0.920582,-0.018198,-0.199259,-0.030175,-0.001429,0.000000,-0.011054,0.030698,3.785845,29.590050
8,sac,0.005000,-2901.862220,-2845.104522,0.163696,63.287181,3030.632630,3034,3604.000000,0.771524,0.328442,0.009575,0.990952,0.996388,247,0.995542,0.373896,0.033408,0.162339,-0.223352,-0.925829,-0.018417,-0.197065,-0.029847,-0.001436,0.000000,-0.010510,0.033905,4.874379,31.692604
9,sac,0.005000,-2901.850788,-2851.409663,0.165617,63.287181,3030.632630,3034,3604.000000,0.771524,0.328442,0.009585,0.992560,0.996729,247,0.995542,0.373896,0.033408,0.162339,-0.223352,-0.925829,-0.018417,-0.197065,-0.029847,-0.001438,0.000000,-0.010510,0.033905,5.345480,33.566227
10,sac,0.005000,-2901.774032,-2856.446100,0.167527,63.287181,3030.632630,3034,3604.000000,0.771524,0.328442,0.009585,0.994845,0.998134,254,0.995542,0.373896,0.033408,0.162339,-0.223352,-0.925829,-0.018417,-0.197065,-0.029847,-0.001438,0.000000,-0.010510,0.033905,5.498861,35.234581
